Player,Season,VAC_288,VAC_SO,Bias_288,Bias_SO,Sensitivity_288,Sensitivity_SO
Matt Harvey,2016,0.5604,0.8681,0.1006,0.0209,0.3767,0.7363
Matt Harvey,2017,0.6609,0.833,0.091,0.0253,0.41,0.6785
Matt Harvey,2018,0.5477,0.8054,0.0947,0.0371,0.3652,0.6643
Matt Harvey,2019,0.6153,0.7787,0.0753,0.0237,0.4089,0.6842
J.J. Hoover,2016,0.0568,0.2539,0.2469,0.1793,0.0818,0.2921
J.J. Hoover,2019,0.2741,0.6196,0.1271,0.0549,0.099,0.5433
Ross Ohlendorf,2019,0.322,0.7505,0.1627,0.0385,0.1539,0.7585
Hector Neris,2016,0.5467,0.6986,-0.0275,-0.0094,0.1512,0.7582
Hector Neris,2017,0.4863,0.7283,-0.0249,-0.0157,0.1665,0.7374
Hector Neris,2018,0.436,0.7473,-0.0238,-0.017,0.1691,0.7396
Hector Neris,2019,0.4353,0.7581,-0.0581,-0.0249,0.1787,0.764
James Russell,2019,0.0803,0.7097,-0.0785,-0.1264,0.0459,0.9564
Tony Cingrani,2016,0.4219,0.6812,0.5,-0.0464,0.1552,1.1372
Tony Cingrani,2017,0.4662,0.7342,0.4225,-0.0242,0.1685,1.086
Tony Cingrani,2019,0.4388,0.7045,0.3987,-0.0286,0.162,1.0694
David Hernandez,2016,0.319,0.7032,0.1931,0.0782,0.1502,0.7017
David Hernandez,2017,0.3817,0.6596,0.2533,0.1193,0.1448,0.7537
David Hernandez,2018,0.3556,0.6769,0.2886,0.1144,0.1401,0.7466
David Hernandez,2019,0.3512,0.6851,0.3195,0.1243,0.1407,0.7702
Jumbo Diaz,2016,0.4277,0.6817,0.2209,0.1284,0.188,0.7087
Jumbo Diaz,2019,0.4207,0.7641,0.1088,0.0544,0.2231,0.8088
Jeanmar Gomez,2016,0.3319,0.7161,-0.5099,-0.3127,0.2003,0.9126
Jeanmar Gomez,2017,0.3116,0.5825,-0.7068,-0.3313,0.143,0.8716
Jeanmar Gomez,2018,0.2747,0.6192,-0.7348,-0.2856,0.1312,0.9085
Jeanmar Gomez,2019,0.2886,0.6066,-0.7106,-0.3008,0.1373,0.8914
Jeremy Hellickson,2016,0.2035,0.736,-0.005,-0.0119,0.2405,0.7797
Jeremy Hellickson,2017,0.3789,0.8003,0.0397,0.0055,0.3644,0.7871
Jeremy Hellickson,2018,0.7687,0.9449,-0.0056,-0.0102,0.7064,0.906
